team,avg_wins,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,seed_6_pct,seed_7_pct,seed_8_pct,seed_9_pct,seed_10_pct,seed_11_pct,seed_12_pct,seed_13_pct,seed_14_pct,seed_15_pct,missed_playoffs_pct,first_round_pct,second_round_pct,conf_finals_pct,finals_pct,champion_pct
ATL,44.65,17.9,13.9,11.3,11.1,11.0,7.5,6.4,5.5,4.7,3.2,2.7,2.4,1.3,0.9,0.2,14.9,39.1,17.8,12.6,9.7,5.9
BKN,35.66,0.2,0.2,0.8,1.9,2.4,2.7,4.4,3.2,6.7,7.3,8.6,9.8,14.8,17.3,19.7,84.9,10.4,3.4,1.0,0.3,0.0
BOS,42.9,9.0,9.7,11.3,10.2,9.3,10.3,6.2,7.2,5.8,5.8,4.4,4.5,2.9,2.5,0.9,26.5,32.0,17.9,11.7,7.1,4.8
CHA,39.67,2.3,3.5,5.0,6.1,6.5,8.5,6.3,9.5,7.2,7.9,9.2,8.7,7.3,7.8,4.2,54.0,26.4,12.2,4.7,1.8,0.9
CHI,36.82,0.5,1.0,2.1,2.3,3.2,4.0,4.1,6.6,5.4,10.0,10.6,11.8,13.5,12.4,12.5,75.3,17.5,4.9,1.6,0.6,0.1
CLE,39.58,3.2,3.2,5.2,4.5,6.3,7.1,7.7,6.8,8.2,9.8,9.5,8.5,8.4,6.4,5.2,55.4,25.3,10.5,5.5,2.1,1.2
DAL,40.6,0.9,4.4,6.2,5.4,7.3,7.4,9.0,8.9,8.9,6.3,7.9,8.4,8.3,5.6,5.1,51.3,33.0,10.0,4.3,0.7,0.7
DEN,44.75,10.3,14.8,11.3,12.8,8.8,6.9,6.4,5.8,6.6,5.3,4.4,3.2,2.0,1.2,0.2,20.7,33.4,20.6,13.8,4.8,6.7
DET,42.68,9.6,9.1,8.1,9.5,8.9,8.4,10.3,7.7,7.4,5.9,5.6,3.9,2.7,2.2,0.7,28.3,36.7,18.7,8.6,4.5,3.2
GSW,41.56,2.8,6.6,6.5,7.8,7.7,7.9,7.0,7.6,9.6,7.7,7.5,7.4,6.2,4.9,2.8,46.5,26.7,17.5,6.1,1.7,1.5
HOU,41.15,2.4,4.4,6.1,6.9,8.2,8.9,7.9,7.0,7.6,8.9,8.2,6.8,7.3,5.6,3.8,47.3,30.4,12.2,6.3,2.4,1.4
IND,38.06,1.1,2.5,1.7,3.6,4.1,4.8,6.2,6.9,9.3,9.1,10.0,10.6,10.3,11.4,8.4,69.9,17.7,7.9,2.1,1.6,0.8
LAC,42.15,2.4,6.6,8.4,8.8,9.5,9.6,8.0,8.1,7.6,6.0,6.3,7.4,5.2,4.4,1.7,38.6,34.9,16.2,6.4,2.4,1.5
LAL,43.02,3.6,8.6,10.2,9.9,10.1,9.6,9.0,8.5,6.1,7.3,5.3,3.7,3.6,3.0,1.5,30.1,37.9,16.9,8.6,3.6,2.9
MEM,39.18,0.7,1.9,3.4,4.2,4.5,5.1,8.1,7.4,7.6,8.9,10.1,9.5,9.8,10.7,8.1,65.7,21.8,9.0,2.4,1.0,0.1
MIA,42.91,9.3,10.3,10.4,9.6,9.2,7.6,8.6,7.6,6.0,6.5,4.9,4.4,2.7,2.1,0.8,28.5,32.7,19.9,8.8,6.0,4.1
MIL,40.47,4.2,5.0,6.2,6.7,6.7,8.1,7.0,8.7,9.8,8.0,7.6,8.3,6.1,4.8,2.8,47.0,29.6,12.4,6.2,2.8,2.0
MIN,43.69,6.3,11.2,11.9,11.3,8.1,8.0,8.7,6.8,5.7,5.9,5.1,3.8,3.2,3.2,0.8,28.4,30.8,17.6,13.8,4.3,5.1
NOP,42.54,3.0,8.6,9.4,7.8,9.8,9.3,7.0,9.1,8.6,6.0,7.1,4.3,4.2,3.8,2.0,34.9,33.0,19.0,7.1,3.4,2.6
NYK,43.39,11.0,12.0,10.3,11.1,8.0,7.9,8.4,7.9,7.3,6.0,3.5,2.5,2.5,1.0,0.6,23.6,31.8,19.8,11.0,8.4,5.4
OKC,51.24,61.9,16.2,8.4,5.4,2.7,2.0,1.3,1.0,0.2,0.4,0.3,0.2,0.0,0.0,0.0,1.6,19.6,20.3,14.0,10.2,34.3
ORL,45.31,21.6,16.2,12.3,10.5,9.9,7.0,6.1,3.2,4.3,2.5,2.3,2.4,0.7,0.8,0.2,12.3,37.9,20.4,12.4,9.4,7.6
PHI,42.74,8.3,10.6,11.2,8.2,8.5,9.3,8.6,9.6,5.6,5.2,4.3,3.5,3.9,2.0,1.2,26.2,35.3,21.2,10.3,4.6,2.4
PHX,38.56,0.5,2.1,2.3,3.3,3.8,5.3,5.1,8.2,7.8,10.4,8.1,8.6,11.9,11.9,10.7,69.1,20.5,7.2,2.7,0.2,0.3
POR,36.21,0.1,0.4,0.4,0.9,1.6,3.3,3.0,4.4,5.5,6.7,8.1,12.8,13.7,17.6,21.5,86.5,9.1,3.1,1.1,0.2,0.0
SAC,40.88,1.6,4.6,5.3,7.2,6.5,6.7,8.6,7.4,8.4,8.6,9.7,8.5,7.8,5.1,4.0,53.0,25.9,12.8,5.6,1.5,1.2
SAS,42.74,3.5,9.2,10.0,7.5,10.7,8.4,9.3,7.6,6.6,6.6,6.4,5.1,4.5,3.0,1.6,34.0,37.3,16.3,7.2,2.6,2.6
TOR,38.72,1.7,2.7,3.4,4.4,5.5,5.6,7.1,7.5,8.4,7.7,9.8,9.7,9.3,9.9,7.3,61.5,21.7,11.2,3.1,1.8,0.7
UTA,34.47,0.0,0.4,0.2,0.8,0.7,1.6,1.6,2.2,3.2,5.0,5.5,10.3,12.3,20.0,36.2,92.3,5.7,1.3,0.6,0.1,0.0
WAS,33.71,0.1,0.1,0.7,0.3,0.5,1.2,2.6,2.1,3.9,5.1,7.0,9.0,13.6,18.5,35.3,91.7,5.9,1.8,0.4,0.2,0.0
