team,season,run_id,avg_wins,seed_1_pct,seed_2_pct,seed_3_pct,seed_4_pct,seed_5_pct,seed_6_pct,seed_7_pct,seed_8_pct,seed_9_pct,seed_10_pct,seed_11_pct,seed_12_pct,seed_13_pct,seed_14_pct,seed_15_pct,missed_playoffs_pct,first_round_pct,second_round_pct,conf_finals_pct,finals_pct,champion_pct
ATL,2025-26,production,44.7700000000,18.5000000000,14.5000000000,11.6000000000,10.4000000000,10.2000000000,7.5000000000,6.5000000000,5.4000000000,5.0000000000,3.3000000000,2.6000000000,2.4000000000,1.1000000000,0.8000000000,0.2000000000,14.7000000000,38.2000000000,20.1000000000,14.1000000000,7.0000000000,5.9000000000
BKN,2025-26,production,35.5100000000,0.2000000000,0.3000000000,0.5000000000,1.0000000000,2.6000000000,2.6000000000,3.6000000000,4.4000000000,6.2000000000,7.4000000000,7.8000000000,10.0000000000,15.8000000000,17.4000000000,20.2000000000,86.1000000000,10.1000000000,2.7000000000,0.9000000000,0.2000000000,0.0000000000
BOS,2025-26,production,42.7700000000,8.4000000000,9.9000000000,10.4000000000,9.3000000000,10.2000000000,9.2000000000,7.3000000000,7.9000000000,4.6000000000,5.7000000000,6.1000000000,4.3000000000,2.9000000000,3.0000000000,0.8000000000,27.9000000000,32.9000000000,17.8000000000,10.8000000000,6.7000000000,3.9000000000
CHA,2025-26,production,39.7800000000,2.2000000000,3.3000000000,4.9000000000,7.2000000000,5.8000000000,8.9000000000,6.9000000000,8.3000000000,7.5000000000,7.3000000000,9.5000000000,9.4000000000,7.6000000000,7.4000000000,3.8000000000,53.9000000000,27.2000000000,11.3000000000,4.4000000000,1.9000000000,1.3000000000
CHI,2025-26,production,37.2100000000,0.6000000000,1.3000000000,2.4000000000,2.4000000000,3.2000000000,4.2000000000,5.0000000000,6.3000000000,7.3000000000,9.2000000000,11.1000000000,11.1000000000,13.1000000000,11.5000000000,11.3000000000,74.0000000000,16.9000000000,5.9000000000,2.5000000000,0.6000000000,0.1000000000
CLE,2025-26,production,39.6900000000,3.2000000000,2.9000000000,5.4000000000,5.4000000000,5.7000000000,7.6000000000,7.4000000000,6.8000000000,8.5000000000,10.5000000000,8.8000000000,8.5000000000,7.6000000000,6.6000000000,5.1000000000,53.4000000000,24.6000000000,12.0000000000,6.3000000000,2.3000000000,1.4000000000
DAL,2025-26,production,40.7200000000,0.8000000000,4.8000000000,5.9000000000,5.9000000000,7.6000000000,7.6000000000,10.0000000000,9.2000000000,8.4000000000,6.4000000000,7.5000000000,8.4000000000,7.6000000000,5.2000000000,4.7000000000,49.1000000000,32.4000000000,12.3000000000,4.4000000000,1.1000000000,0.7000000000
DEN,2025-26,production,44.6300000000,9.4000000000,14.5000000000,12.8000000000,11.6000000000,9.4000000000,6.9000000000,6.9000000000,5.5000000000,6.5000000000,5.5000000000,4.6000000000,2.8000000000,2.2000000000,1.2000000000,0.2000000000,21.1000000000,32.9000000000,22.3000000000,12.1000000000,4.8000000000,6.8000000000
DET,2025-26,production,43.3100000000,11.2000000000,10.3000000000,9.3000000000,9.6000000000,10.4000000000,9.0000000000,8.5000000000,7.0000000000,6.7000000000,5.7000000000,4.7000000000,3.0000000000,2.3000000000,1.7000000000,0.6000000000,24.0000000000,33.3000000000,19.5000000000,10.3000000000,7.8000000000,5.1000000000
GSW,2025-26,production,41.6900000000,2.8000000000,7.1000000000,6.2000000000,8.3000000000,8.4000000000,8.3000000000,6.3000000000,7.9000000000,9.7000000000,7.7000000000,6.8000000000,7.1000000000,6.1000000000,4.7000000000,2.6000000000,44.4000000000,27.5000000000,16.5000000000,6.4000000000,2.6000000000,2.6000000000
